UF;StateName;ObjectName;Capital;date;win1R>50%;win2R;%1RoundVote17;%2RoundVote17;birthsJan-May-21;birthsJan-May-19;DifnubirthJan-May-21/19;%VarNuBirthJan-May-21/19;AnnualBirthRate21*;AnnBirthRate19;Births2020;%varAnnualPopGrw21vs19;AnPopGrowthRate21*;AnPopGrowthRate20;AnnualPopGrw19;ExcessDeaths21Jan-Jul;ExcessDeaths20;ExcessMortalityRt21;P-score21vs15-19Jan-Jul;P-scoreJan21vs15to19;P-scoreFev21vs15to19;P-scoreMar21vs15to19;P-scoreAbr21vs15to19;P-scoreMay21vs15to20;P-scoreJun21vs15to19;P-scoreJul21vs15to19;Births2019;Births20202;Births2021;DeathsJan-21;DeathsFev-21;DeathsMar-21;DeathsAbr-21;DeathsMay-21;DeathsJun-21;DeathsJul-21;Deaths2021jantojul;Deaths15-19Jan-JulAvg;Deaths19jantojun;Deaths18Jan-May;Deaths17Jan-May;Deaths16Jan-May;Deaths15Jan-May;Deaths2015;Deaths2016;Deaths2017;Deaths2018;Deaths2019;Deaths2020;Deaths2021*;AvgJan15to19Deaths;AvgFev15to19Deaths;AvgMar15to19Deaths;AvgAbr15to19Deaths;Avg15to19MayDeaths;Avg15to19JunDeaths;Avg15to19JulDeaths;MortalityRate/19;MortalityRate/20;MortalityRate/21;MortRatejaneiro-21/100000;MortRatefev-21/100000;MortRateMar-21/100000;MortRateAbr-21/100000;MortalRatemaio-21/100000;MortalRateJun-21/100000;MortalRateJul-21/100000;CasesCOVID21Jan-Jul;CasesCOVID20/21;ExcessDeaths2020;ExcessDeaths21Jan-Jul;DeathsCOVID21Jan-Juk;COVIDvsExcessratio2020;DeathsCOVID20;ExcessDeathsCOVIDratio21;DeathsCOVID20/21;MORTALITYCOVID;FATALITYRATECOVID;pop/IBGE20;%pop>70a;pop>70a2019;DemgDens20/km2;canvoted18;%NotVoted18;voted18;17in1T;%1RoundVote17/2018;P-score21vs15-19;ExcessMortalityRate16;ExcessMortalityRate17;ExcessMortalityRate18;ExcessMortalityRate192;ExcessMortalityRate20;ExcessMortalityRate21*;IBGEpop2015;IBGEpop2016;IBGEpop2017;IBGEpop2018;IBGEpop2019;IBGEpop20;IBGEpop2021;%varAnnPopGrw21vs19;DeathsCOVID/100mil;%votes17;%excessdeaths21Jan-May;%COVIDDeaths;%BRApop;%COVIDCases;VAR%COVIDdeath%/BRApop%;unidpoparea;Aumentorisco21vs15to19;nDFdec
AC;Acre;state;Rio Branco;31-Jul;TRUE;TRUE;62,24%;77%;4991;5685;-694;-12,21%;1,673952173;1,906715709;14813;-63,14%;0,870683198;1,141240568;1,502038132;1582,4;1368,6;352,2471785;76,13%;41,74%;94,67%;148,62%;100,51%;43,94%;37,02%;29,11%;16912;14813;14973;419;535;817;643;437;382;369;3661;2078,6;1819;1908;1773;1614;1694;3113;3297;3401;3511;3665;4748;6276;294,2;273,8;326,2;316,2;303,6;278,8;285,8;439,7017228;530,8171319;698,5285934;59,07401209;89,88559813;70,26814947;71,26564685;48,43403993;42,70685434;41,25347971;45521;87141;1350,6;1582;1004;63,45%;797;57,61%;1799;173,8223338;0,019649815;881935;3,73%;66377;4,47;547608;22,98%;421778;262508;62,24%;145,49%;22,53005129;12,5358749;12,65436892;17,46160431;121,4125561;422,6966142;803513;816687;829619;869265;881935;894470;898460;-12,93%;171,3864076;0,53%;0,47%;0,38%;0,42%;0,54%;-0,05%;164173,431;0,761281632;285,0233177
AL;Alagoas;state;Maceió;31-Jul;FALSE;FALSE;34,40%;40%;14926;16599;-1673;-10,08%;1,33604134;1,48579326;45000;-32,59%;0,66891578;0,722554482;0,892532624;3709,6;4143;221,0185047;39,23%;33,82%;40,11%;64,25%;62,21%;25,00%;28,70%;11,69%;47121;45000;44763;1593;1567;2180;2140;1862;1906;1728;13166;9456,4;8542;7939;8198;7695;8795;16313;17112;16869;16237;17334;20889;22570;1190,4;1117;1323;1308,2;1489,6;1481;1547,2;498,3973054;623,2651647;672,3704441;46,38463622;64,4049933;62,89341729;63,42691471;55,12806605;56,86932855;51,55834193;125142;229960;4116;3710;3320;60,64%;2496;11,73%;5809;127,0636226;0,024301337;3336911;5,12%;170848;112,33;2187948;29,81%;1535746;528355;34,40%;63,48%;23,78710334;-7,198244695;-19,01998905;32,87471557;105,7713993;265,2222056;3340932;3358963;3375823;3322820;3337357;3351543;3356823;-33,11%;126,5088946;1,07%;0,80%;1,04%;1,58%;1,20%;-0,54%;27830,656;0,39228459;48,31711111
AM;Amazonas;state;Manaus;31-Jul;FALSE;TRUE;43,48%;50%;22575;18355;4220;22,99%;1,609543805;1,308667842;57683;-22,76%;0,75268899;0,925687105;0,98798508;9719,8;5091,6;460,2114838;131,22%;362,25%;355,02%;143,86%;73,12%;13,96%;28,46%;19,58%;56128;57683;67647;4111;4012;2520;1717;1466;1549;1452;17127;7407,2;7480;7315;7011;6939;7005;13744;13633;14079;14671;15180;19317;29361;863,6;851,4;1009,6;976,2;1286,4;1205,8;1214,2;351,1407857;459,0853846;695,0797415;91,38117911;58,07446127;39,86427277;40,5011576;34,46254586;36,81333855;34,50804879;215699;416712;5055,6;9720;8242;105,07%;5312;17,93%;13527;304,9512413;0,03403931;4144597;3,15%;130477;2,69;2428842;23,68%;1853591;805902;43,48%;200,13%;-2,773844001;10,9754519;14,50763133;12,28104928;98,90118559;552,2537806;3938336;4001667;4063614;4080611;4144597;4207714;4224058;-24,73%;300,3768792;1,64%;2,72%;3,10%;1,99%;2,56%;1,12%;1559167,878;1,312209742;2706,888677
AP;Amapá;state;Macapá;31-Jul;FALSE;TRUE;40,74%;50%;4969;5234;-265;-5,06%;1,729805877;1,822057549;12091;-14,41%;1,269939996;1,04229359;1,580171473;1027,2;1089;236,2710032;75,37%;76,02%;29,78%;55,74%;118,65%;79,44%;105,37%;56,46%;15773;12091;14907;345;224;323;429;384;398;286;2390;1362,8;1259;1150;1052;1137;1077;2124;2069;2053;2280;2409;3276;4097;196;172,6;207,4;196,2;214;193,8;182,8;365,8736117;380,1465119;471,2013499;25,66696879;37,01085232;49,15682862;49,15682862;44,00051792;46,18385584;33,1873939;53017;121218;1089;1027;982;85,49%;931;4,60%;1907;183,2734049;0,014626643;845731;2,78%;23485;6,04;512119;19,99%;409757;166935;40,74%;107,57%;-7,030595875;-2,005711263;27,36608101;15,25307692;101,457382;283,5252039;766679;782295;797722;829494;845731;861773;869510;26,99%;179,8617501;0,34%;0,22%;0,38%;0,41%;0,73%;-0,03%;142470,762;0,753742295;247,3450729
BA;Bahia;state;Salvador;31-Jul;FALSE;FALSE;23,41%;27%;59361;67368;-8007;-11,89%;1,192735687;1,353619679;181136;-41,51%;0,487213068;0,593140874;0,789622098;20996,6;21852,4;281,4212089;50,84%;53,12%;48,91%;67,32%;52,79%;43,74%;44,42%;31,65%;191660;181136;178041;8639;7754;10055;8873;8835;8855;8544;62295;41298,4;36430;34419;34194;34478;34662;70411;69522;70953;70538;74219;92919;106791;5608,6;5180,2;5990,2;5751,6;6146,4;6131,4;6490;524,2845012;622,3379396;715,672369;51,41508799;66,80495552;58,57347592;59,140015;58,66012307;59,30759538;57,22462958;700289;1193689;21790,4;20997;16621;42,03%;9158;26,33%;25750;124,8112501;0,020509041;14872858;6,32%;940612;24,82;10392015;29,09%;7368545;1725140;23,41%;79,11%;-5,819370662;9,32584928;-2,801665634;24,74978246;124,9910184;337,7054506;15203334;15276566;15344447;14812617;14873064;14930634;14921832;-51,28%;124,328277;3,51%;4,57%;4,56%;7,05%;6,23%;-2,49%;564760,427;0,508411948;980,4868524
CE;Ceará;state;Fortaleza;31-Jul;FALSE;FALSE;21,74%;29%;36462;38333;-1871;-4,88%;1,190647367;1,251743885;111137;-48,32%;0,406352253;0,605265077;0,726318807;14767,2;9542;322,0097568;55,18%;22,37%;34,80%;82,81%;104,47%;54,61%;49,69%;19,51%;113935;111137;109221;4238;4416;7114;8263;6702;5826;4628;41531;26763,8;24688;23688;26248;23413;23540;44953;45283;48013;46069;47607;55859;71196;3462,4;3274,4;3889,8;4037,8;4334,8;3892;3872,6;473,6857745;608,0153885;776,2408122;47,8511692;77,08873226;89,50141662;89,57730202;72,43804092;63,41498512;50,37496586;583214;919206;9474;14767;13526;105,55%;10000;9,18%;23519;197,1781451;0,02658388;9132858;6,34%;579357;56,76;6343897;23,07%;4880155;1061075;21,74%;78,42%;3,681530642;30,26453196;-21,41995575;16,84029249;89,81146992;386,4117081;8904459;8963663;9020460;9075649;9132078;9187103;9171896;-59,36%;196,0139121;2,16%;2,98%;4,42%;4,34%;4,66%;0,08%;148894,442;0,551760213;258,4972951
DF;Distrito Federal;state;Brasília;31-Jul;TRUE;TRUE;58,37%;70%;16542;19470;-2928;-15,04%;1,624339762;1,911854381;50075;-43,40%;0,827684673;1,052703904;1,457051247;6246,8;7006,6;407,7746651;84,47%;44,36%;48,85%;133,95%;156,98%;106,41%;52,65%;40,46%;55977;50075;49611;1443;1373;2541;2811;2015;1743;1681;13642;7395,2;6908;6646;6667;6789;6758;11012;11057;11470;11185;12043;18360;23386;999,6;922,4;1084;1074,4;976,2;1141,8;1196,8;469,5679327;600,9526868;763,2975944;44,57161259;82,3260084;89,63016924;91,25331609;65,41281819;57,05122729;55,02186636;198465;450166;7006,6;6247;5361;60,94%;4270;16,52%;9620;260,064168;0,020631886;3012718;4,63%;139478;444,66;2085825;23,08%;1604517;936494;58,37%;159,38%;1,511479181;13,58801149;-9,580788401;28,47926689;207,4934807;489,3295982;2914830;2977216;3039444;2974703;3015268;3055149;3063849;-17,23%;256,452304;1,90%;1,66%;1,92%;1,44%;2,61%;0,48%;5760;0,844710082;10
ES;Espírito Santo;state;Vitória;31-Jul;TRUE;TRUE;54,76%;63%;17948;19469;-1521;-7,81%;1,324884623;1,437161729;54167;-54,49%;0,38806098;0,61896408;0,827815311;8276,2;7968,2;408,242793;64,46%;57,13%;48,19%;76,89%;132,74%;68,97%;40,76%;27,26%;56121;54167;53844;2845;2417;3277;4153;3199;2648;2529;21116;12839,8;11194;10791;10670;9898;10430;19577;20781;21826;21646;22854;29293;36199;1810,6;1631;1852,6;1784;1893,2;1881,2;1987,2;594,0130687;720,7831002;892,7963645;59,24276617;80,32211201;101,7691209;101,7936317;78,28771003;65,15664662;62,22853448;294755;543006;7956,2;8276;6808;64,05%;5096;21,57%;11889;238,6373533;0,021901878;4018650;5,76%;159958;76,25;2754739;25,61%;2049148;1122131;54,76%;120,48%;30,29924023;26,0186099;-4,531279422;30,05984597;159,2422847;489,8913516;3929911;3973697;4016356;3972388;4018650;4064052;4054548;-61,19%;235,9713901;2,28%;2,22%;2,35%;1,92%;3,01%;0,43%;46074,447;0,644573903;79,99035938
GO;Goiás;state;Goiânia;31-Jul;TRUE;TRUE;57,24%;66%;26801;29594;-2793;-9,44%;1,130281126;1,248070581;81059;-63,84%;0,286861394;0,53567176;0,682310981;16337,6;10460,6;461,0101386;85,70%;33,08%;52,69%;145,56%;108,57%;63,98%;87,72%;80,61%;83195;81059;80121;3609;3696;6823;6153;4785;4990;5021;35401;19063,4;16538;15959;15279;15775;14897;32666;31594;32598;32786;35308;43450;60687;2667,6;2391,8;2750;2897,8;2918;2658,2;2780;476,1764185;610,8069962;856,2310211;51,19186492;94,66009415;84,7216954;86,24960155;66,83538115;70,1479151;70,58370375;433608;742718;10459,6;16338;13996;65,06%;6805;16,73%;20801;215,5847737;0,027368181;7020904;5,24%;367743;17,65;4454402;26,71%;3264789;1868686;57,24%;115,96%;-16,00990464;14,81094216;2,716307279;35,92130016;115,3500744;553,2121664;6610681;6695855;6778772;6921161;7018354;7113540;7087740;-71,31%;212,7773232;3,80%;3,43%;3,72%;3,36%;3,81%;0,36%;340242,854;0,857013964;590,6993993
MA;Maranhão;state;São Luís;31-Jul;FALSE;FALSE;24,28%;27%;30250;33195;-2945;-8,87%;1,275546419;1,399727715;92232;-26,55%;0,801802154;0,885178768;1,101936473;8351,2;6528,4;233,7953745;69,08%;55,70%;69,92%;108,70%;96,54%;40,72%;59,75%;34,90%;102138;92232;90738;2339;2287;3386;3372;3024;3027;2622;20441;12089,8;12252;11818;12009;11054;11447;22003;22477;23402;23432;24174;29604;35042;1474,6;1323;1609;1695,8;2149;1894,8;1943,6;314,4380048;416,1022169;490,5038026;31,3456763;46,82330116;46,47470601;47,01851445;41,62226145;42,54632518;36,85380397;136178;337116;6506,4;8351;5136;69,24%;4505;62,60%;9636;103,3895811;0,027340888;7075181;4,95%;350187;19,81;4536954;25,79%;3366871;817511;24,28%;67,90%;6,816185594;13,21385343;0,426435899;10,48736421;76,07376437;280,5544493;6904241;6954036;7000229;7035055;7075181;7114598;7144025;-19,82%;102,8167719;1,66%;1,23%;1,80%;3,36%;1,84%;-1,56%;329651,495;0,690764115;572,3116233
