State,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Pará,Paraíba,Paraná,Pernambuco,Piauí,Rio de Janeiro,Rio Grande do Norte,Rio Grande do Sul,Rondônia,Roraima,Santa Catarina,São Paulo,Sergipe,Tocantins,Brazil,17Win18,17Notwin18,%win18,%notwin18,DifWinvsnotwin
UF,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO,BRA,AC-AP-AM-DF-SP-RR-SC-RS-RJ-RO-PR-MG-MS-MT-GO-ES,AL-BA-SE-PI-TO-RN-PE-PA-MA-CE,AC-AP-AM-DF-SP-RR-SC-RS-RJ-RO-PR-MG-MS-MT-GO-ES,AL-BA-SE-PI-TO-RN-PE-PA-MA-CE,
Jan-14,238,1255,169,1146,5565,3466,837,1530,2698,1626,1130,1047,9015,2138,1838,4851,4217,1189,10815,1272,6345,553,148,2640,20564,796,496,87584,63726,23858,0.7276,0.2724,1.6711
Feb-14,238,1128,158,1003,4801,3160,770,1409,2327,1484,1043,939,8275,1917,1615,4923,3752,1033,9594,1146,5900,473,117,2556,21263,718,463,82205,60988,21217,0.7419,0.2581,1.8745
Mar-14,266,1228,203,1192,5527,3468,849,1528,2562,1610,1215,1032,8778,2289,1859,4891,3937,1204,9200,1284,5654,516,112,2689,20031,801,505,84430,60718,23712,0.7192,0.2808,1.5606
Apr-14,247,1139,185,1177,5245,3633,938,1328,2602,1765,1165,1006,8727,2195,1856,4860,4131,1245,8856,1255,5430,572,132,2562,19528,763,471,83013,59315,23698,0.7145,0.2855,1.5030
May-14,248,1449,172,1229,5558,3700,953,1423,2801,1907,1178,1120,10207,2217,1905,5421,4217,1226,9588,1305,5996,579,141,2746,22601,778,482,91147,66403,24744,0.7285,0.2715,1.6836
Jun-14,273,1403,213,1190,5604,3548,872,1393,2656,1753,1154,1218,9843,2086,1916,5762,4265,1188,9733,1344,6751,586,126,3000,22505,903,473,91758,67275,24483,0.7332,0.2668,1.7478
Jul-14,274,1336,166,1112,6039,3324,918,1688,2671,1767,1199,1213,10263,2206,2029,6142,4474,1101,10198,1318,7000,577,155,3048,22086,834,484,93622,68710,24912,0.7339,0.2661,1.7581
Aug-14,240,1426,184,1102,6095,3411,985,1804,2683,1794,1149,1156,10499,2177,1996,5658,4525,1114,11009,1278,6934,535,131,3055,22881,892,484,95197,70005,25192,0.7354,0.2646,1.7789
Sep-14,222,1265,154,1122,5842,3365,895,1706,2553,1734,1179,1078,9555,1994,1954,5164,4167,1151,10223,1258,6471,540,134,2819,20968,835,457,88805,64783,24022,0.7295,0.2705,1.6968
Oct-14,282,1268,171,1052,5783,3561,910,1522,2870,1655,1188,1308,10063,2069,1848,5423,4187,1287,9834,1264,6240,568,146,2841,22381,767,476,90964,66799,24165,0.7343,0.2657,1.7643
Nov-14,283,1231,163,1091,5400,3224,850,1546,2439,1674,1031,1057,8977,1904,1764,4640,4026,1126,8875,1224,5733,566,136,2585,19494,778,472,82289,59466,22823,0.7226,0.2774,1.6055
Dec-14,287,1272,138,1150,5676,2954,827,1548,2687,1653,1047,1088,9586,2058,1927,5002,4306,1091,9427,1248,5682,557,147,2578,20734,818,478,85966,62485,23481,0.7269,0.2731,1.6611
Jan-15,260,1328,191,1119,5897,3570,913,1737,2783,1789,1089,1107,9974,2057,1919,5083,4263,1176,10540,1323,5595,604,116,2686,22662,872,501,91154,66459,24695,0.7291,0.2709,1.6912
Feb-15,245,1114,162,990,5121,3237,773,1490,2328,1598,1025,918,8218,1860,1696,4501,3742,1053,8685,1166,4987,486,117,2377,18168,721,403,77181,55470,21711,0.7187,0.2813,1.5549
Mar-15,269,1283,200,1233,5825,3955,922,1586,2673,2016,1123,1072,9140,2253,1928,5052,4280,1231,9047,1418,5771,602,121,2662,21119,879,518,88178,62592,25586,0.7098,0.2902,1.4463
